type,date,shop,category,name,amount,price
sale,2020-01-24,ТГК-2,Посуда,Набор ножей «Overlord»,1,26490.89
buy,2020-01-29,ТГК-2,Электротовары,Зарядное устройство GP U411,5,3716.21
sale,2020-01-07,Крокус,Посуда,Миска «Русская» малая,4,4419.33
buy,2020-01-06,ООО «Дьячкова Коновалов»,,Пельмени «Башкирские»,3,1361.12
buy,2020-01-10,"ЗАО «Исаков, Блохина и Зайцева»",Быловая химия,Жидкий кислород Planet Aquafair,8,2063.78
buy,2020-01-04,ООО «Дьячкова Коновалов»,,Альбом для монет «Деньги Мира»,7,40.94
sale,2020-01-12,"РАО «Брагина, Русакова и Кошелев»",Быловая химия,Универсальное моющее средство «Выгодная уборка»,4,24.26
sale,2020-01-21,ТГК-2,Посуда,Набор ножей «Overlord»,1,1447.93
buy,2020-01-13,ООО «Дьячкова Коновалов»,Инструменты,Система выравнивания плитки «ПСВП»,10,12115.02
sale,2020-01-06,ООО «Дьячкова Коновалов»,Электротовары,Зарядное устройство GP U411,9,15554.84
buy,2020-01-21,ООО «Дьячкова Коновалов»,,Ручка шариковая MAZARi Silvano Smart Ink,3,749.01
buy,2020-01-14,"ЗАО «Исаков, Блохина и Зайцева»",,Игрушка надувная Меч череп,7,116.68
sale,2020-01-26,Крокус,,Ручка шариковая MAZARi Silvano Smart Ink,5,56.32
buy,2020-01-21,"ЗАО «Исаков, Блохина и Зайцева»",Мебель,Стол раскладной Ялта-1,5,17517.44
buy,2020-01-08,"РАО «Брагина, Русакова и Кошелев»",Мебель,Корзина сетчатая навесная на полку,6,146.13
sale,2020-01-25,"РАО «Брагина, Русакова и Кошелев»",Посуда,Миска «Русская» малая,1,506.35
buy,2020-01-24,"ЗАО «Исаков, Блохина и Зайцева»",,Игрушка надувная Меч череп,6,754.28
sale,2020-01-22,"ЗАО «Исаков, Блохина и Зайцева»",Быловая химия,Жидкий кислород Planet Aquafair,6,153.36
buy,2020-01-24,"ЗАО «Исаков, Блохина и Зайцева»",,Альбом для монет «Деньги Мира»,9,1139.26
sale,2020-01-04,ТГК-2,Электротовары,Умный встраиваемый  выключатель HIPER,3,13.06
buy,2020-01-13,"РАО «Брагина, Русакова и Кошелев»",Инструменты,Домкрат ромбический с резиновой опорой TUNDRA,1,95.73
buy,2020-01-19,ТГК-2,Электротовары,Умный встраиваемый  выключатель HIPER,6,882.65
buy,2020-01-18,ТГК-2,Электротовары,Умный встраиваемый  выключатель HIPER,7,61.51
buy,2020-01-22,ООО «Дьячкова Коновалов»,,Пельмени «Башкирские»,4,15774.76
buy,2020-01-11,Крокус,Инструменты,Круг отрезной по металлу TSUNAMI,3,90.13
sale,2020-01-13,"РАО «Брагина, Русакова и Кошелев»",Инструменты,Система выравнивания плитки «ПСВП»,10,129.75
sale,2020-01-29,"ЗАО «Исаков, Блохина и Зайцева»",Быловая химия,Жидкий кислород Planet Aquafair,10,70.35
sale,2020-01-21,ООО «Дьячкова Коновалов»,Быловая химия,Универсальное моющее средство «Выгодная уборка»,3,105.64
sale,2020-01-25,"РАО «Брагина, Русакова и Кошелев»",Посуда,Набор ножей «Overlord»,7,3775.78
buy,2020-01-29,Крокус,Мебель,Ручка скоба РС109,4,3828.29
buy,2020-01-01,ООО «Дьячкова Коновалов»,Быловая химия,Отбеливатель Der Waschkonig C.G. Fleckentferner,5,42.93
sale,2020-01-17,ТГК-2,,Альбом для монет «Деньги Мира»,1,2070.64
sale,2020-01-13,ТГК-2,Электротовары,Умный встраиваемый  выключатель HIPER,6,1057.28
buy,2020-01-06,ООО «Дьячкова Коновалов»,Электротовары,Умный встраиваемый  выключатель HIPER,3,98.31
sale,2020-01-11,ТГК-2,Посуда,Набор ножей «Overlord»,4,24097.86
